classifier_name,dataset_name,accuracy
ResNet,0,73.96
ResNet,1,82.89
ResNet,2,84.46
ResNet,3,75.33
ResNet,4,85
ResNet,5,88.5
ResNet,6,92.5
ResNet,7,84.36
ResNet,8,82.61
ResNet,9,99.5
ResNet,10,100
ResNet,11,81.48
ResNet,12,79.13
ResNet,13,80.33
ResNet,14,81.15
ResNet,15,30.13
ResNet,16,71.65
ResNet,17,77.1
ResNet,18,66.47
ResNet,19,71.15
ResNet,20,87.4
ResNet,21,93.42
ResNet,22,97.48
ResNet,23,72.91
ResNet,24,95.45
ResNet,25,83.88
ResNet,26,95.47
ResNet,27,97.94
ResNet,28,92.05
ResNet,29,91.31
ResNet,30,99.07
ResNet,31,75.71
ResNet,32,91.11
ResNet,33,51.88
ResNet,34,61.88
ResNet,35,37.31
ResNet,36,50.65
ResNet,37,96.3
ResNet,38,89.97
ResNet,39,77.05
ResNet,40,84.52
ResNet,41,97.16
ResNet,42,96.83
ResNet,43,77.03
ResNet,44,56.88
ResNet,45,80.89
ResNet,46,48.44
ResNet,47,92.76
ResNet,48,94.54
ResNet,49,94.61
ResNet,50,83
ResNet,51,97.85
ResNet,52,83.9
ResNet,53,33.43
ResNet,54,100
ResNet,55,85.32
ResNet,56,92.13
ResNet,57,78.05
ResNet,58,52.53
ResNet,59,62.16
ResNet,60,77.94
ResNet,61,92.13
ResNet,62,78.61
ResNet,63,95.81
ResNet,64,97.78
ResNet,65,97.18
ResNet,66,98.05
ResNet,67,95.63
ResNet,68,90.64
ResNet,69,96.27
ResNet,70,90.62
ResNet,71,100
ResNet,72,100
ResNet,73,99.99
ResNet,74,85.95
ResNet,75,78.05
ResNet,76,67.01
ResNet,77,75.01
ResNet,78,74.44
ResNet,79,62.24
ResNet,80,79.09
ResNet,81,74.68
ResNet,82,99.83
ResNet,83,99.86
ResNet,84,87.02
InceptionTime,0,84.18
InceptionTime,1,83.63
InceptionTime,2,82.86
InceptionTime,3,70
InceptionTime,4,85
InceptionTime,5,95
InceptionTime,6,90
InceptionTime,7,87.53
InceptionTime,8,85.14
InceptionTime,9,99.89
InceptionTime,10,100
InceptionTime,11,81.2
InceptionTime,12,86.67
InceptionTime,13,85.13
InceptionTime,14,85.9
InceptionTime,15,93.14
InceptionTime,16,72.66
InceptionTime,17,79.35
InceptionTime,18,67.63
InceptionTime,19,74.1
InceptionTime,20,91
InceptionTime,21,94.09
InceptionTime,22,100
InceptionTime,23,72.27
InceptionTime,24,96.59
InceptionTime,25,80.41
InceptionTime,26,97.32
InceptionTime,27,98.29
InceptionTime,28,94.83
InceptionTime,29,93.65
InceptionTime,30,100
InceptionTime,31,71.43
InceptionTime,32,95.95
InceptionTime,33,56.82
InceptionTime,34,70.31
InceptionTime,35,48.55
InceptionTime,36,63.48
InceptionTime,37,96.79
InceptionTime,38,90.67
InceptionTime,39,80.33
InceptionTime,40,80.82
InceptionTime,41,96.29
InceptionTime,42,95
InceptionTime,43,79.87
InceptionTime,44,53.25
InceptionTime,45,83.51
InceptionTime,46,51.3
InceptionTime,47,90.34
InceptionTime,48,96.23
InceptionTime,49,96.74
InceptionTime,50,86.67
InceptionTime,51,93.39
InceptionTime,52,85.43
InceptionTime,53,33.54
InceptionTime,54,100
InceptionTime,55,85.37
InceptionTime,56,93.13
InceptionTime,57,77.56
InceptionTime,58,50.93
InceptionTime,59,57.6
InceptionTime,60,98.89
InceptionTime,61,92.5
InceptionTime,62,77.87
InceptionTime,63,88.35
InceptionTime,64,95.28
InceptionTime,65,97.92
InceptionTime,66,98.38
InceptionTime,67,97.12
InceptionTime,68,98.19
InceptionTime,69,96.93
InceptionTime,70,93.85
InceptionTime,71,100
InceptionTime,72,99.56
InceptionTime,73,100
InceptionTime,74,95.45
InceptionTime,75,82.47
InceptionTime,76,76.88
InceptionTime,77,76.97
InceptionTime,78,66.67
InceptionTime,79,75.55
InceptionTime,80,80.52
InceptionTime,81,79.22
InceptionTime,82,99.67
InceptionTime,83,99.87
InceptionTime,84,90.57
OS-CNN,0,81.6
OS-CNN,1,83.45
OS-CNN,2,83.77
OS-CNN,3,80.67
OS-CNN,4,81.5
OS-CNN,5,88.5
OS-CNN,6,93.33
OS-CNN,7,83.87
OS-CNN,8,82.75
OS-CNN,9,99.99
OS-CNN,10,100
OS-CNN,11,70.68
OS-CNN,12,85.51
OS-CNN,13,86.72
OS-CNN,14,86.31
OS-CNN,15,97.71
OS-CNN,16,73.81
OS-CNN,17,76.59
OS-CNN,18,66.4
OS-CNN,19,66.98
OS-CNN,20,90.8
OS-CNN,21,94.01
OS-CNN,22,99.95
OS-CNN,23,72.36
OS-CNN,24,95.11
OS-CNN,25,84.47
OS-CNN,26,96.74
OS-CNN,27,98.74
OS-CNN,28,95.48
OS-CNN,29,83.79
OS-CNN,30,99.93
OS-CNN,31,70.38
OS-CNN,32,92.95
OS-CNN,33,51.01
OS-CNN,34,60.78
OS-CNN,35,42.93
OS-CNN,36,63.52
OS-CNN,37,94.72
OS-CNN,38,89.57
OS-CNN,39,80.66
OS-CNN,40,79.32
OS-CNN,41,96.38
OS-CNN,42,94.67
OS-CNN,43,76.95
OS-CNN,44,53.64
OS-CNN,45,81.41
OS-CNN,46,51.95
OS-CNN,47,92.64
OS-CNN,48,96.27
OS-CNN,49,96.01
OS-CNN,50,78.67
OS-CNN,51,94.01
OS-CNN,52,82.97
OS-CNN,53,30.45
OS-CNN,54,100
OS-CNN,55,84.39
OS-CNN,56,90.79
OS-CNN,57,77.32
OS-CNN,58,50.29
OS-CNN,59,52.64
OS-CNN,60,79.94
OS-CNN,61,92.03
OS-CNN,62,72.08
OS-CNN,63,97.95
OS-CNN,64,95.38
OS-CNN,65,97.5
OS-CNN,66,98.19
OS-CNN,67,97.12
OS-CNN,68,96.12
OS-CNN,69,95.39
OS-CNN,70,94.62
OS-CNN,71,100
OS-CNN,72,99.92
OS-CNN,73,100
OS-CNN,74,94.25
OS-CNN,75,82.18
OS-CNN,76,75.72
OS-CNN,77,76.36
OS-CNN,78,74.44
OS-CNN,79,74.23
OS-CNN,80,76.49
OS-CNN,81,65.71
OS-CNN,82,99.93
OS-CNN,83,99.84
OS-CNN,84,91.06
DSN,0,83.16
DSN,1,85.06
DSN,2,86.4
DSN,3,82.67
DSN,4,95
DSN,5,91
DSN,6,90.67
DSN,7,86.33
DSN,8,99.2
DSN,9,98.78
DSN,10,100
DSN,11,79.84
DSN,12,77.28
DSN,13,80.51
DSN,14,77.13
DSN,15,96.99
DSN,16,84.2
DSN,17,81.13
DSN,18,79.4
DSN,19,81.06
DSN,20,80.4
DSN,21,94.32
DSN,22,98.51
DSN,23,73.02
DSN,24,96.59
DSN,25,76.91
DSN,26,96.62
DSN,27,97.71
DSN,28,94.64
DSN,29,93.62
DSN,30,98.93
DSN,31,72.76
DSN,32,87.9
DSN,33,56.43
DSN,34,63.44
DSN,35,52.73
DSN,36,57.49
DSN,37,96.05
DSN,38,89.92
DSN,39,74.43
DSN,40,78.63
DSN,41,92.71
DSN,42,92.33
DSN,43,74.39
DSN,44,78.65
DSN,45,81.33
DSN,46,61.45
DSN,47,90.73
DSN,48,94.36
DSN,49,94.72
DSN,50,94
DSN,51,98.84
DSN,52,83.87
DSN,53,33.7
DSN,54,100
DSN,55,86.05
DSN,56,93.2
DSN,57,81.95
DSN,58,55.84
DSN,59,63.95
DSN,60,72.67
DSN,61,92.5
DSN,62,81.76
DSN,63,89.32
DSN,64,97.46
DSN,65,98.2
DSN,66,97.72
DSN,67,97.79
DSN,68,97.43
DSN,69,97.28
DSN,70,95.54
DSN,71,100
DSN,72,99.7
DSN,73,98.5
DSN,74,90.99
DSN,75,84.06
DSN,76,77.1
DSN,77,77.98
DSN,78,80
DSN,79,72.01
DSN,80,65.86
DSN,81,77.9
DSN,82,99.4
DSN,83,99.91
DSN,84,93.63
AutoBroadMLP(Ours),0,76.3
AutoBroadMLP(Ours),1,81.6
AutoBroadMLP(Ours),2,90.85
AutoBroadMLP(Ours),3,96.66
AutoBroadMLP(Ours),4,100
AutoBroadMLP(Ours),5,90
AutoBroadMLP(Ours),6,96.66
AutoBroadMLP(Ours),7,78.64
AutoBroadMLP(Ours),8,99.49
AutoBroadMLP(Ours),9,100
AutoBroadMLP(Ours),10,100
AutoBroadMLP(Ours),11,80
AutoBroadMLP(Ours),12,73.33
AutoBroadMLP(Ours),13,72.8
AutoBroadMLP(Ours),14,72.82
AutoBroadMLP(Ours),15,100
AutoBroadMLP(Ours),16,77.69
AutoBroadMLP(Ours),17,82.24
AutoBroadMLP(Ours),18,74.1
AutoBroadMLP(Ours),19,81.3
AutoBroadMLP(Ours),20,93
AutoBroadMLP(Ours),21,94.44
AutoBroadMLP(Ours),22,98.83
AutoBroadMLP(Ours),23,73.84
AutoBroadMLP(Ours),24,97.72
AutoBroadMLP(Ours),25,91.42
AutoBroadMLP(Ours),26,91.6
AutoBroadMLP(Ours),27,96.57
AutoBroadMLP(Ours),28,91.21
AutoBroadMLP(Ours),29,80.74
AutoBroadMLP(Ours),30,99.33
AutoBroadMLP(Ours),31,87.61
AutoBroadMLP(Ours),32,92.43
AutoBroadMLP(Ours),33,52.27
AutoBroadMLP(Ours),34,65.62
AutoBroadMLP(Ours),35,42.72
AutoBroadMLP(Ours),36,65.3
AutoBroadMLP(Ours),37,97.47
AutoBroadMLP(Ours),38,88.53
AutoBroadMLP(Ours),39,85.24
AutoBroadMLP(Ours),40,84.93
AutoBroadMLP(Ours),41,96.8
AutoBroadMLP(Ours),42,100
AutoBroadMLP(Ours),43,77.76
AutoBroadMLP(Ours),44,64.28
AutoBroadMLP(Ours),45,87.28
AutoBroadMLP(Ours),46,65.6
AutoBroadMLP(Ours),47,90.49
AutoBroadMLP(Ours),48,95.33
AutoBroadMLP(Ours),49,95.41
AutoBroadMLP(Ours),50,96.66
AutoBroadMLP(Ours),51,96.28
AutoBroadMLP(Ours),52,84.26
AutoBroadMLP(Ours),53,23.99
AutoBroadMLP(Ours),54,100
AutoBroadMLP(Ours),55,87.8
AutoBroadMLP(Ours),56,90.75
AutoBroadMLP(Ours),57,82.44
AutoBroadMLP(Ours),58,57.9
AutoBroadMLP(Ours),59,57.8
AutoBroadMLP(Ours),60,82.78
AutoBroadMLP(Ours),61,83.67
AutoBroadMLP(Ours),62,79.2
AutoBroadMLP(Ours),63,93.34
AutoBroadMLP(Ours),64,88.7
AutoBroadMLP(Ours),65,49.47
AutoBroadMLP(Ours),66,97.56
AutoBroadMLP(Ours),67,96.48
AutoBroadMLP(Ours),68,92.16
AutoBroadMLP(Ours),69,97.36
AutoBroadMLP(Ours),70,95.4
AutoBroadMLP(Ours),71,100
AutoBroadMLP(Ours),72,99
AutoBroadMLP(Ours),73,100
AutoBroadMLP(Ours),74,96.76
AutoBroadMLP(Ours),75,84.14
AutoBroadMLP(Ours),76,74.14
AutoBroadMLP(Ours),77,77.41
AutoBroadMLP(Ours),78,98.14
AutoBroadMLP(Ours),79,67.08
AutoBroadMLP(Ours),80,71.43
AutoBroadMLP(Ours),81,80.5
AutoBroadMLP(Ours),82,100
AutoBroadMLP(Ours),83,99.95
AutoBroadMLP(Ours),84,87.6
Broad CycleMLP,0,52.96
Broad CycleMLP,1,78
Broad CycleMLP,2,82.28
Broad CycleMLP,3,93.3
Broad CycleMLP,4,60
Broad CycleMLP,5,75
Broad CycleMLP,6,95
Broad CycleMLP,7,78.72
Broad CycleMLP,8,98.33
Broad CycleMLP,9,91.77
Broad CycleMLP,10,100
Broad CycleMLP,11,66
Broad CycleMLP,12,68.71
Broad CycleMLP,13,69.48
Broad CycleMLP,14,68.46
Broad CycleMLP,15,97.38
Broad CycleMLP,16,74.82
Broad CycleMLP,17,75.72
Broad CycleMLP,18,65.46
Broad CycleMLP,19,77.69
Broad CycleMLP,20,92.5
Broad CycleMLP,21,94.5
Broad CycleMLP,22,95.4
Broad CycleMLP,23,68.87
Broad CycleMLP,24,98.9
Broad CycleMLP,25,84.5
Broad CycleMLP,26,85.31
Broad CycleMLP,27,89.14
Broad CycleMLP,28,87.42
Broad CycleMLP,29,75.06
Broad CycleMLP,30,96
Broad CycleMLP,31,80
Broad CycleMLP,32,91.35
Broad CycleMLP,33,45.45
Broad CycleMLP,34,64.06
Broad CycleMLP,35,31.81
Broad CycleMLP,36,63.48
Broad CycleMLP,37,96.4
Broad CycleMLP,38,59.2
Broad CycleMLP,39,85.71
Broad CycleMLP,40,65.75
Broad CycleMLP,41,89.16
Broad CycleMLP,42,91.67
Broad CycleMLP,43,73.28
Broad CycleMLP,44,56.49
Broad CycleMLP,45,83.16
Broad CycleMLP,46,51.94
Broad CycleMLP,47,86.26
Broad CycleMLP,48,93.13
Broad CycleMLP,49,94.65
Broad CycleMLP,50,76.67
Broad CycleMLP,51,78.3
Broad CycleMLP,52,83.44
Broad CycleMLP,53,15.08
Broad CycleMLP,54,99.04
Broad CycleMLP,55,85.36
Broad CycleMLP,56,91.06
Broad CycleMLP,57,79.02
Broad CycleMLP,58,50.4
Broad CycleMLP,59,42.67
Broad CycleMLP,60,51.67
Broad CycleMLP,61,78.67
Broad CycleMLP,62,71.73
Broad CycleMLP,63,89.51
Broad CycleMLP,64,84.05
Broad CycleMLP,65,96.77
Broad CycleMLP,66,96.48
Broad CycleMLP,67,92.32
Broad CycleMLP,68,81.9
Broad CycleMLP,69,61.84
Broad CycleMLP,70,76.92
Broad CycleMLP,71,100
Broad CycleMLP,72,96.04
Broad CycleMLP,73,100
Broad CycleMLP,74,94.69
Broad CycleMLP,75,77.49
Broad CycleMLP,76,68.98
Broad CycleMLP,77,71.71
Broad CycleMLP,78,79.62
Broad CycleMLP,79,58.93
Broad CycleMLP,80,49.35
Broad CycleMLP,81,67.53
Broad CycleMLP,82,98
Broad CycleMLP,83,99.75
Broad CycleMLP,84,85.23
HIVE-COTE 2.0,0,83.5
HIVE-COTE 2.0,1,80.8
HIVE-COTE 2.0,2,88
HIVE-COTE 2.0,3,83.3
HIVE-COTE 2.0,4,95
HIVE-COTE 2.0,5,90
HIVE-COTE 2.0,6,90
HIVE-COTE 2.0,7,75.9
HIVE-COTE 2.0,8,99.9
HIVE-COTE 2.0,9,99.9
HIVE-COTE 2.0,10,100
HIVE-COTE 2.0,11,76.8
HIVE-COTE 2.0,12,83.1
HIVE-COTE 2.0,13,85.1
HIVE-COTE 2.0,14,86.2
HIVE-COTE 2.0,15,97.4
HIVE-COTE 2.0,16,75.5
HIVE-COTE 2.0,17,77.2
HIVE-COTE 2.0,18,70.5
HIVE-COTE 2.0,19,74.8
HIVE-COTE 2.0,20,88
HIVE-COTE 2.0,21,94.6
HIVE-COTE 2.0,22,100
HIVE-COTE 2.0,23,75.76
HIVE-COTE 2.0,24,97.7
HIVE-COTE 2.0,25,90.4
HIVE-COTE 2.0,26,96.5
HIVE-COTE 2.0,27,98.9
HIVE-COTE 2.0,28,94.6
HIVE-COTE 2.0,29,82.5
HIVE-COTE 2.0,30,100
HIVE-COTE 2.0,31,70.5
HIVE-COTE 2.0,32,94.1
HIVE-COTE 2.0,33,55.8
HIVE-COTE 2.0,34,57.8
HIVE-COTE 2.0,35,53.1
HIVE-COTE 2.0,36,66.2
HIVE-COTE 2.0,37,96.9
HIVE-COTE 2.0,38,90.9
HIVE-COTE 2.0,39,77
HIVE-COTE 2.0,40,79.5
HIVE-COTE 2.0,41,97.1
HIVE-COTE 2.0,42,93.3
HIVE-COTE 2.0,43,80.1
HIVE-COTE 2.0,44,57.8
HIVE-COTE 2.0,45,84.5
HIVE-COTE 2.0,46,56.5
HIVE-COTE 2.0,47,96.7
HIVE-COTE 2.0,48,95
HIVE-COTE 2.0,49,96.6
HIVE-COTE 2.0,50,90
HIVE-COTE 2.0,51,97.1
HIVE-COTE 2.0,52,83.4
HIVE-COTE 2.0,53,38.6
HIVE-COTE 2.0,54,100
HIVE-COTE 2.0,55,85.4
HIVE-COTE 2.0,56,89
HIVE-COTE 2.0,57,83.4
HIVE-COTE 2.0,58,54.7
HIVE-COTE 2.0,59,57.3
HIVE-COTE 2.0,60,100
HIVE-COTE 2.0,61,91.8
HIVE-COTE 2.0,62,82.9
HIVE-COTE 2.0,63,91.3
HIVE-COTE 2.0,64,92.5
HIVE-COTE 2.0,65,98.3
HIVE-COTE 2.0,66,97.8
HIVE-COTE 2.0,67,96.3
HIVE-COTE 2.0,68,97.5
HIVE-COTE 2.0,69,96.5
HIVE-COTE 2.0,70,93.1
HIVE-COTE 2.0,71,100
HIVE-COTE 2.0,72,99.9
HIVE-COTE 2.0,73,100
HIVE-COTE 2.0,74,97.4
HIVE-COTE 2.0,75,85.6
HIVE-COTE 2.0,76,77.4
HIVE-COTE 2.0,77,79.5
HIVE-COTE 2.0,78,90.7
HIVE-COTE 2.0,79,76
HIVE-COTE 2.0,80,74
HIVE-COTE 2.0,81,83.1
HIVE-COTE 2.0,82,100
HIVE-COTE 2.0,83,100
HIVE-COTE 2.0,84,93.3
WEASEL 2.0,0,83.29
WEASEL 2.0,1,84.39
WEASEL 2.0,2,85.71
WEASEL 2.0,3,83.33
WEASEL 2.0,4,95
WEASEL 2.0,5,90
WEASEL 2.0,6,91.66
WEASEL 2.0,7,76.66
WEASEL 2.0,8,96.15
WEASEL 2.0,9,98
WEASEL 2.0,10,100
WEASEL 2.0,11,71.6
WEASEL 2.0,12,81.28
WEASEL 2.0,13,81.02
WEASEL 2.0,14,80.76
WEASEL 2.0,15,96.73
WEASEL 2.0,16,77.67
WEASEL 2.0,17,78.26
WEASEL 2.0,18,69.78
WEASEL 2.0,19,74.82
WEASEL 2.0,20,89
WEASEL 2.0,21,94.82
WEASEL 2.0,22,97.09
WEASEL 2.0,23,77.31
WEASEL 2.0,24,94.31
WEASEL 2.0,25,78.46
WEASEL 2.0,26,94.63
WEASEL 2.0,27,98.85
WEASEL 2.0,28,96.06
WEASEL 2.0,29,83.95
WEASEL 2.0,30,100
WEASEL 2.0,31,76.19
WEASEL 2.0,32,95.94
WEASEL 2.0,33,49.02
WEASEL 2.0,34,67.18
WEASEL 2.0,35,44.36
WEASEL 2.0,36,63.88
WEASEL 2.0,37,95.91
WEASEL 2.0,38,83.73
WEASEL 2.0,39,72.13
WEASEL 2.0,40,80.82
WEASEL 2.0,41,93.81
WEASEL 2.0,42,91.66
WEASEL 2.0,43,78.02
WEASEL 2.0,44,61.03
WEASEL 2.0,45,83.5
WEASEL 2.0,46,55.19
WEASEL 2.0,47,96
WEASEL 2.0,48,92.72
WEASEL 2.0,49,95.47
WEASEL 2.0,50,96.66
WEASEL 2.0,51,96.69
WEASEL 2.0,52,83.68
WEASEL 2.0,53,34.86
WEASEL 2.0,54,100
WEASEL 2.0,55,85.85
WEASEL 2.0,56,89.69
WEASEL 2.0,57,80.97
WEASEL 2.0,58,55.46
WEASEL 2.0,59,48
WEASEL 2.0,60,100
WEASEL 2.0,61,93.5
WEASEL 2.0,62,77.86
WEASEL 2.0,63,93.84
WEASEL 2.0,64,95.27
WEASEL 2.0,65,98.32
WEASEL 2.0,66,98.1
WEASEL 2.0,67,97.76
WEASEL 2.0,68,98.39
WEASEL 2.0,69,96.92
WEASEL 2.0,70,93.84
WEASEL 2.0,71,100
WEASEL 2.0,72,99.91
WEASEL 2.0,73,99.75
WEASEL 2.0,74,95.92
WEASEL 2.0,75,84.45
WEASEL 2.0,76,78.7
WEASEL 2.0,77,76.74
WEASEL 2.0,78,90.74
WEASEL 2.0,79,73.51
WEASEL 2.0,80,71.42
WEASEL 2.0,81,80.51
WEASEL 2.0,82,99.66
WEASEL 2.0,83,99.95
WEASEL 2.0,84,92.63
DrCIF,0,78.24
DrCIF,1,82.09
DrCIF,2,80.57
DrCIF,3,76.66
DrCIF,4,90
DrCIF,5,90
DrCIF,6,88.33
DrCIF,7,73.85
DrCIF,8,100
DrCIF,9,99.88
DrCIF,10,100
DrCIF,11,73.6
DrCIF,12,74.61
DrCIF,13,80.51
DrCIF,14,81.02
DrCIF,15,86.27
DrCIF,16,74.82
DrCIF,17,78.62
DrCIF,18,69.78
DrCIF,19,74.82
DrCIF,20,89
DrCIF,21,94.28
DrCIF,22,100
DrCIF,23,73.55
DrCIF,24,100
DrCIF,25,76.39
DrCIF,26,90.73
DrCIF,27,94.28
DrCIF,28,96.89
DrCIF,29,81.6
DrCIF,30,99.33
DrCIF,31,73.33
DrCIF,32,91.89
DrCIF,33,51.94
DrCIF,34,60.93
DrCIF,35,54.9
DrCIF,36,68.83
DrCIF,37,97.27
DrCIF,38,82.4
DrCIF,39,77.04
DrCIF,40,75.34
DrCIF,41,91.85
DrCIF,42,93.33
DrCIF,43,78.94
DrCIF,44,61.03
DrCIF,45,83.16
DrCIF,46,58.44
DrCIF,47,94.4
DrCIF,48,93.48
DrCIF,49,94.09
DrCIF,50,93.33
DrCIF,51,85.95
DrCIF,52,83.68
DrCIF,53,40.61
DrCIF,54,100
DrCIF,55,84.39
DrCIF,56,89.69
DrCIF,57,79.51
DrCIF,58,61.06
DrCIF,59,54.13
DrCIF,60,99.44
DrCIF,61,85.5
DrCIF,62,81.86
DrCIF,63,89.18
DrCIF,64,90.24
DrCIF,65,98.08
DrCIF,66,96.48
DrCIF,67,96.16
DrCIF,68,96.38
DrCIF,69,92.54
DrCIF,70,87.69
DrCIF,71,100
DrCIF,72,99.73
DrCIF,73,100
DrCIF,74,97.26
DrCIF,75,83.66
DrCIF,76,76.54
DrCIF,77,78.11
DrCIF,78,79.62
DrCIF,79,69.27
DrCIF,80,76.62
DrCIF,81,77.92
DrCIF,82,99.66
DrCIF,83,99.9
DrCIF,84,87.66
STC,0,74.94
STC,1,81.58
STC,2,69.14
STC,3,83.33
STC,4,80
STC,5,90
STC,6,85
STC,7,75.2
STC,8,99.13
STC,9,96.55
STC,10,100
STC,11,67.2
STC,12,79.23
STC,13,77.69
STC,14,81.02
STC,15,79.73
STC,16,75.53
STC,17,77.89
STC,18,71.22
STC,19,74.82
STC,20,84
STC,21,94.35
STC,22,99.88
STC,23,73.97
STC,24,73.86
STC,25,74.61
STC,26,91.31
STC,27,93.14
STC,28,92.95
STC,29,81.35
STC,30,99.33
STC,31,75.23
STC,32,92.16
STC,33,53.89
STC,34,67.18
STC,35,43.63
STC,36,63.98
STC,37,94.94
STC,38,82.4
STC,39,68.85
STC,40,75.34
STC,41,93.9
STC,42,98.33
STC,43,71.44
STC,44,57.14
STC,45,81.44
STC,46,59.74
STC,47,94.48
STC,48,93.58
STC,49,94.7
STC,50,90
STC,51,95.45
STC,52,82.63
STC,53,35.28
STC,54,100
STC,55,85.36
STC,56,90.72
STC,57,80
STC,58,53.86
STC,59,62.93
STC,60,100
STC,61,83
STC,62,81.33
STC,63,79.03
STC,64,94.33
STC,65,97.52
STC,66,96.21
STC,67,93.44
STC,68,96.58
STC,69,96.05
STC,70,94.61
STC,71,100
STC,72,100
STC,73,98.81
STC,74,95.58
STC,75,80.65
STC,76,71.18
STC,77,76.29
STC,78,70.37
STC,79,65.98
STC,80,72.72
STC,81,81.81
STC,82,99.33
STC,83,100
STC,84,88.06
TDE,0,79.12
TDE,1,78
TDE,2,88
TDE,3,80
TDE,4,95
TDE,5,95
TDE,6,83.33
TDE,7,70.1
TDE,8,99.71
TDE,9,99.55
TDE,10,100
TDE,11,72
TDE,12,81.79
TDE,13,79.48
TDE,14,80.76
TDE,15,89.21
TDE,16,74.1
TDE,17,71.73
TDE,18,64.74
TDE,19,74.82
TDE,20,85
TDE,21,94.37
TDE,22,100
TDE,23,74.54
TDE,24,100
TDE,25,77.69
TDE,26,95.21
TDE,27,98.28
TDE,28,92.57
TDE,29,81.72
TDE,30,100
TDE,31,63.8
TDE,32,92.16
TDE,33,54.22
TDE,34,59.37
TDE,35,50.72
TDE,36,59.59
TDE,37,96.01
TDE,38,82.13
TDE,39,78.68
TDE,40,71.23
TDE,41,90.53
TDE,42,88.33
TDE,43,75.65
TDE,44,56.49
TDE,45,75.94
TDE,46,59.74
TDE,47,95.12
TDE,48,83.51
TDE,49,88.24
TDE,50,86.66
TDE,51,95.45
TDE,52,77.38
TDE,53,36.39
TDE,54,100
TDE,55,86.34
TDE,56,86.25
TDE,57,80
TDE,58,52.53
TDE,59,56
TDE,60,100
TDE,61,93.5
TDE,62,80.53
TDE,63,62.06
TDE,64,87.93
TDE,65,97.88
TDE,66,97.29
TDE,67,92.16
TDE,68,97.38
TDE,69,97.36
TDE,70,94.61
TDE,71,100
TDE,72,99.91
TDE,73,99.85
TDE,74,95.11
TDE,75,82.94
TDE,76,78.5
TDE,77,78.83
TDE,78,62.96
TDE,79,75.54
TDE,80,79.22
TDE,81,79.22
TDE,82,99.33
TDE,83,99.95
TDE,84,92.56
Arsenal,0,82.19
Arsenal,1,77.74
Arsenal,2,81.71
Arsenal,3,83.33
Arsenal,4,90
Arsenal,5,90
Arsenal,6,91.66
Arsenal,7,78.82
Arsenal,8,83.91
Arsenal,9,100
Arsenal,10,100
Arsenal,11,76.4
Arsenal,12,80.76
Arsenal,13,84.35
Arsenal,14,86.15
Arsenal,15,97.38
Arsenal,16,75.53
Arsenal,17,76.08
Arsenal,18,71.94
Arsenal,19,74.82
Arsenal,20,90
Arsenal,21,94.62
Arsenal,22,100
Arsenal,23,73.22
Arsenal,24,97.72
Arsenal,25,94.67
Arsenal,26,96.19
Arsenal,27,97.71
Arsenal,28,94.62
Arsenal,29,80.37
Arsenal,30,100
Arsenal,31,73.33
Arsenal,32,93.51
Arsenal,33,51.94
Arsenal,34,67.18
Arsenal,35,46.9
Arsenal,36,65.8
Arsenal,37,96.79
Arsenal,38,90.4
Arsenal,39,75.4
Arsenal,40,80.82
Arsenal,41,95.77
Arsenal,42,95
Arsenal,43,80
Arsenal,44,59.74
Arsenal,45,82.81
Arsenal,46,55.84
Arsenal,47,92.09
Arsenal,48,94.91
Arsenal,49,96.53
Arsenal,50,93.33
Arsenal,51,93.8
Arsenal,52,82.98
Arsenal,53,27.84
Arsenal,54,100
Arsenal,55,85.36
Arsenal,56,89.34
Arsenal,57,81.46
Arsenal,58,53.6
Arsenal,59,49.33
Arsenal,60,100
Arsenal,61,91
Arsenal,62,81.86
Arsenal,63,92.17
Arsenal,64,90.97
Arsenal,65,98.08
Arsenal,66,97.83
Arsenal,67,96.32
Arsenal,68,97.38
Arsenal,69,96.49
Arsenal,70,92.3
Arsenal,71,100
Arsenal,72,99.91
Arsenal,73,100
Arsenal,74,97.48
Arsenal,75,85.56
Arsenal,76,77.07
Arsenal,77,79.25
Arsenal,78,83.33
Arsenal,79,74.29
Arsenal,80,72.72
Arsenal,81,77.92
Arsenal,82,100
Arsenal,83,99.82
Arsenal,84,90.53
